ST,OCC_CODE,OCC_TITLE,LOC_Q,A_MEAN
NV,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.25,63650
NV,51-8099,"Plant and System Operators, All Other",0.84,58260
NV,51-9011,"Chemical Equipment Operators and Tenders",0.07,48260
NV,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1.84,48040
NV,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2.29,42780
NV,51-9022,"Grinding and Polishing Workers, Hand",0.69,30450
NV,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",0.31,37810
NV,51-9031,"Cutters and Trimmers, Hand",0,28650
NV,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.58,35120
NV,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.45,33160
NV,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.24,45540
NV,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.46,36170
NV,51-9071,"Jewelers and Precious Stone and Metal Workers",0.54,38240
NV,51-9081,"Dental Laboratory Technicians",0.71,37840
NV,51-9082,"Medical Appliance Technicians",0.67,49140
NV,51-9083,"Ophthalmic Laboratory Technicians",0.56,28410
NV,51-9111,"Packaging and Filling Machine Operators and Tenders",0.35,31210
NV,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.23,28860
NV,51-9122,"Painters, Transportation Equipment",0.61,40710
NV,51-9123,"Painting, Coating, and Decorating Workers",0.94,29080
NV,51-9151,"Photographic Process Workers and Processing Machine Operators",0.93,34680
NV,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.45,29560
NV,51-9194,"Etchers and Engravers",1.68,24860
NV,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",1.1,34030
NV,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",0.28,30160
NV,51-9198,"Helpers--Production Workers",0.41,26100
NV,51-9199,"Production Workers, All Other",0.39,41290
NV,53-0000,"Transportation and Material Moving Occupations",1.03,35770
NV,53-1011,"Aircraft Cargo Handling Supervisors",1.25,50650
NV,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.99,46210
NV,53-1031,"First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators",0.86,53210
NV,53-2012,"Commercial Pilots",1.69,75790
NV,53-2021,"Air Traffic Controllers",1.06,118840
NV,53-2022,"Airfield Operations Specialists",0.69,71240
NV,53-3021,"Bus Drivers, Transit and Intercity",1.68,27640
NV,53-3022,"Bus Drivers, School or Special Client",0.54,36820
NV,53-3031,"Driver/Sales Workers",1.06,30820
NV,53-3032,"Heavy and Tractor-Trailer Truck Drivers",0.69,47670
NV,53-3033,"Light Truck or Delivery Services Drivers",0.96,34820
NV,53-3041,"Taxi Drivers and Chauffeurs",7.44,28770
NV,53-3099,"Motor Vehicle Operators, All Other",0.84,32710
NV,53-4011,"Locomotive Engineers",0.69,60350
NV,53-6021,"Parking Lot Attendants",2.41,22860
NV,53-6031,"Automotive and Watercraft Service Attendants",1.24,24140
NV,53-6041,"Traffic Technicians",0.6,69620
NV,53-6051,"Transportation Inspectors",0.88,58370
NV,53-6061,"Transportation Attendants, Except Flight Attendants",2.98,29690
NV,53-6099,"Transportation Workers, All Other",1.81,46120
NV,53-7011,"Conveyor Operators and Tenders",0.99,36400
NV,53-7021,"Crane and Tower Operators",0.77,62100
NV,53-7032,"Excavating and Loading Machine and Dragline Operators",0.71,54090
NV,53-7051,"Industrial Truck and Tractor Operators",0.53,36390
NV,53-7061,"Cleaners of Vehicles and Equipment",1.16,21950
NV,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1.06,29800
NV,53-7063,"Machine Feeders and Offbearers",0.64,39760
NV,53-7064,"Packers and Packagers, Hand",0.66,23040
NV,53-7072,"Pump Operators, Except Wellhead Pumpers",0.72,48920
NV,53-7081,"Refuse and Recyclable Material Collectors",0.46,41280
NV,53-7121,"Tank Car, Truck, and Ship Loaders",0.3,47740
NV,53-7199,"Material Moving Workers, All Other",0.68,37090
NH,00-0000,"All Occupations",1,48710
NH,11-0000,"Management Occupations",1.12,112980
NH,11-1011,"Chief Executives",0.95,184110
NH,11-1021,"General and Operations Managers",0.98,124720
NH,11-1031,Legislators,1.25,20440
NH,11-2011,"Advertising and Promotions Managers",1.09,95520
NH,11-2021,"Marketing Managers",1.23,126350
NH,11-2022,"Sales Managers",1.03,134690
NH,11-2031,"Public Relations and Fundraising Managers",1.43,110160
NH,11-3011,"Administrative Services Managers",0.55,87090
NH,11-3021,"Computer and Information Systems Managers",1.15,132130
NH,11-3031,"Financial Managers",1.48,117410
NH,11-3051,"Industrial Production Managers",1.1,114930
NH,11-3061,"Purchasing Managers",0.97,105920
NH,11-3071,"Transportation, Storage, and Distribution Managers",0.61,99300
NH,11-3111,"Compensation and Benefits Managers",0.9,106540
NH,11-3121,"Human Resources Managers",0.92,110220
NH,11-3131,"Training and Development Managers",0.63,106890
NH,11-9021,"Construction Managers",0.87,88820
NH,11-9031,"Education Administrators, Preschool and Childcare Center/Program",1.97,44400
NH,11-9032,"Education Administrators, Elementary and Secondary School",1.25,85590
NH,11-9033,"Education Administrators, Postsecondary",1.19,95330
NH,11-9039,"Education Administrators, All Other",0.64,62800
NH,11-9041,"Architectural and Engineering Managers",1.37,136810
NH,11-9051,"Food Service Managers",1.28,54550
NH,11-9061,"Funeral Service Managers",1.16,71640
NH,11-9081,"Lodging Managers",1.73,62570
NH,11-9111,"Medical and Health Services Managers",1.08,105630
NH,11-9121,"Natural Sciences Managers",0.46,140730
NH,11-9131,"Postmasters and Mail Superintendents",2.45,70540
NH,11-9141,"Property, Real Estate, and Community Association Managers",0.79,73550
NH,11-9151,"Social and Community Service Managers",1.06,62560
NH,11-9161,"Emergency Management Directors",1.58,63700
NH,11-9199,"Managers, All Other",2.06,114780
NH,13-0000,"Business and Financial Operations Occupations",0.88,70730
NH,13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.8,60080
NH,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.06,62130
NH,13-1031,"Claims Adjusters, Examiners, and Investigators",1.2,67050
NH,13-1032,"Insurance Appraisers, Auto Damage",0.87,62110
NH,13-1041,"Compliance Officers",0.64,68550
NH,13-1051,"Cost Estimators",0.72,68960
NH,13-1071,"Human Resources Specialists",0.93,59870
NH,13-1075,"Labor Relations Specialists",0.5,69870
NH,13-1081,Logisticians,0.72,71380
NH,13-1111,"Management Analysts",0.71,96850
NH,13-1121,"Meeting, Convention, and Event Planners",1.11,49870
NH,13-1131,Fundraisers,1.54,52350
NH,13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.76,61500
NH,13-1151,"Training and Development Specialists",0.83,66790
NH,13-1161,"Market Research Analysts and Marketing Specialists",0.78,68730
NH,13-1199,"Business Operations Specialists, All Other",1.15,66350
NH,13-2011,"Accountants and Auditors",0.79,70320
NH,13-2021,"Appraisers and Assessors of Real Estate",0.81,66270
NH,13-2031,"Budget Analysts",0.3,70640
NH,13-2041,"Credit Analysts",0.44,67000
NH,13-2051,"Financial Analysts",0,69370
NH,13-2052,"Personal Financial Advisors",0.91,123200
NH,13-2053,"Insurance Underwriters",0.8,81050
NH,13-2061,"Financial Examiners",0.83,82500
NH,13-2071,"Credit Counselors",1.7,49290
NH,13-2072,"Loan Officers",0.77,89870
NH,13-2081,"Tax Examiners and Collectors, and Revenue Agents",1.24,55070
NH,13-2082,"Tax Preparers",0.99,35990
NH,13-2099,"Financial Specialists, All Other",1.25,72680
NH,15-0000,"Computer and Mathematical Occupations",1,83900
NH,15-1111,"Computer and Information Research Scientists",1.51,133060
NH,15-1121,"Computer Systems Analysts",0.84,88980
NH,15-1122,"Information Security Analysts",0.76,97520
NH,15-1131,"Computer Programmers",1.41,74010
NH,15-1132,"Software Developers, Applications",1.38,94530
NH,15-1133,"Software Developers, Systems Software",0.81,120090
NH,15-1134,"Web Developers",1.03,58770
NH,15-1141,"Database Administrators",0.78,84140
NH,15-1142,"Network and Computer Systems Administrators",1.07,76040
NH,15-1143,"Computer Network Architects",0.61,93930
NH,15-1151,"Computer User Support Specialists",0.88,55710
NH,15-1152,"Computer Network Support Specialists",0.54,61790
NH,15-1199,"Computer Occupations, All Other",0.72,79860
NH,15-2011,Actuaries,0,104300
NH,15-2041,Statisticians,0.94,69130
NH,17-0000,"Architecture and Engineering Occupations",1.09,76490
NH,17-1011,"Architects, Except Landscape and Naval",0.64,0
NH,17-1021,"Cartographers and Photogrammetrists",1.81,49990
NH,17-1022,Surveyors,1.06,53830
NH,17-2011,"Aerospace Engineers",0.17,96560
NH,17-2031,"Biomedical Engineers",1.24,94630
NH,17-2041,"Chemical Engineers",0,97600
NH,17-2051,"Civil Engineers",0.93,74000
NH,17-2061,"Computer Hardware Engineers",0.95,124330
NH,17-2071,"Electrical Engineers",1.78,98150
NH,17-2072,"Electronics Engineers, Except Computer",0.67,96650
NH,17-2081,"Environmental Engineers",0.8,86140
NH,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.65,94010
NH,17-2112,"Industrial Engineers",1.09,81150
NH,17-2131,"Materials Engineers",0.55,90780
NH,17-2141,"Mechanical Engineers",1.27,87750
NH,17-2161,"Nuclear Engineers",0,109640
NH,17-2199,"Engineers, All Other",1.43,88690
NH,17-3011,"Architectural and Civil Drafters",1,52700
NH,17-3012,"Electrical and Electronics Drafters",1.9,63770
NH,17-3013,"Mechanical Drafters",0.99,60240
NH,17-3019,"Drafters, All Other",2.08,54730
NH,17-3022,"Civil Engineering Technicians",0.56,45910
NH,17-3023,"Electrical and Electronics Engineering Technicians",1.61,54840
NH,17-3024,"Electro-Mechanical Technicians",2.34,52800
NH,17-3026,"Industrial Engineering Technicians",1.44,52570
NH,17-3027,"Mechanical Engineering Technicians",1.45,52470
NH,17-3029,"Engineering Technicians, Except Drafters, All Other",1.61,50760
NH,17-3031,"Surveying and Mapping Technicians",1.09,42700
NH,19-0000,"Life, Physical, and Social Science Occupations",0.76,64790
NH,19-1013,"Soil and Plant Scientists",0.6,91520
NH,19-1021,"Biochemists and Biophysicists",0.59,83030
NH,19-1023,"Zoologists and Wildlife Biologists",1.35,55300
NH,19-1029,"Biological Scientists, All Other",0.58,93480
NH,19-1031,"Conservation Scientists",0.56,76440
NH,19-1032,Foresters,1.52,61250
NH,19-1042,"Medical Scientists, Except Epidemiologists",0.89,64300
NH,19-2012,Physicists,0.66,89430
NH,19-2021,"Atmospheric and Space Scientists",0,72330
NH,19-2031,Chemists,0.73,63280
NH,19-2032,"Materials Scientists",1.28,95040
NH,19-2041,"Environmental Scientists and Specialists, Including Health",1.02,72900
NH,19-2042,"Geoscientists, Except Hydrologists and Geographers",0.49,86260
NH,19-2043,Hydrologists,2,81470
NH,19-2099,"Physical Scientists, All Other",2.03,71330
NH,19-3011,Economists,0.46,81230
NH,19-3031,"Clinical, Counseling, and School Psychologists",0.76,72530
NH,19-3051,"Urban and Regional Planners",1.16,63410
NH,19-3099,"Social Scientists and Related Workers, All Other",1.03,73140
NH,19-4011,"Agricultural and Food Science Technicians",0,43270
NH,19-4021,"Biological Technicians",0.88,45500
NH,19-4031,"Chemical Technicians",0.47,42060
NH,19-4091,"Environmental Science and Protection Technicians, Including Health",1.28,42070
NH,19-4092,"Forensic Science Technicians",0.56,68430
NH,19-4093,"Forest and Conservation Technicians",0.55,38160
NH,19-4099,"Life, Physical, and Social Science Technicians, All Other",0.57,49330
NH,21-0000,"Community and Social Service Occupations",0.85,45670
NH,21-1011,"Substance Abuse and Behavioral Disorder Counselors",0.36,56070
NH,21-1012,"Educational, Guidance, School, and Vocational Counselors",0.98,56990
NH,21-1013,"Marriage and Family Therapists",1.17,57570
NH,21-1014,"Mental Health Counselors",1.28,48440
NH,21-1015,"Rehabilitation Counselors",0.96,0
NH,21-1019,"Counselors, All Other",1.42,35320
NH,21-1021,"Child, Family, and School Social Workers",0.44,42510
NH,21-1022,"Healthcare Social Workers",0.77,56110
NH,21-1023,"Mental Health and Substance Abuse Social Workers",0.63,58320
NH,21-1029,"Social Workers, All Other",0.45,62560
NH,21-1091,"Health Educators",0.65,48780
NH,21-1092,"Probation Officers and Correctional Treatment Specialists",0.47,59100
NH,21-1093,"Social and Human Service Assistants",1.18,29870
NH,21-1094,"Community Health Workers",0.87,38050
NH,21-1099,"Community and Social Service Specialists, All Other",1.59,43900
NH,21-2011,Clergy,0.29,58440
NH,23-0000,"Legal Occupations",0.64,85210
NH,23-1011,Lawyers,0.58,114470
NH,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.84,69790
NH,23-2011,"Paralegals and Legal Assistants",0.92,50640
NH,23-2093,"Title Examiners, Abstractors, and Searchers",0.36,44260
NH,23-2099,"Legal Support Workers, All Other",0.46,59360
NH,25-0000,"Education, Training, and Library Occupations",1.13,50660
NH,25-1011,"Business Teachers, Postsecondary",1.02,115020
NH,25-1021,"Computer Science Teachers, Postsecondary",0.68,93750
NH,25-1022,"Mathematical Science Teachers, Postsecondary",0.63,88950
NH,25-1032,"Engineering Teachers, Postsecondary",0.81,116400
NH,25-1042,"Biological Science Teachers, Postsecondary",1.1,107380
NH,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2.58,78880
NH,25-1052,"Chemistry Teachers, Postsecondary",0.94,91480
NH,25-1053,"Environmental Science Teachers, Postsecondary",4.03,80480
NH,25-1054,"Physics Teachers, Postsecondary",1.2,113520
NH,25-1063,"Economics Teachers, Postsecondary",1.78,126370
NH,25-1065,"Political Science Teachers, Postsecondary",0.82,98940
NH,25-1066,"Psychology Teachers, Postsecondary",1.19,83660
NH,25-1067,"Sociology Teachers, Postsecondary",0.85,94220
NH,25-1069,"Social Sciences Teachers, Postsecondary, All Other",1.03,81760
NH,25-1071,"Health Specialties Teachers, Postsecondary",0.71,121240
NH,25-1072,"Nursing Instructors and Teachers, Postsecondary",0.61,74270
NH,25-1081,"Education Teachers, Postsecondary",0.92,70470
NH,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.5,68740
NH,25-1121,"Art, Drama, and Music Teachers, Postsecondary",1.27,87200
NH,25-1122,"Communications Teachers, Postsecondary",0.56,76090
NH,25-1123,"English Language and Literature Teachers, Postsecondary",0.96,78490
NH,25-1125,"History Teachers, Postsecondary",1.05,85320
NH,25-1126,"Philosophy and Religion Teachers, Postsecondary",0.88,90020
NH,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.65,73420
NH,25-1194,"Vocational Education Teachers, Postsecondary",0.44,59760
NH,25-1199,"Postsecondary Teachers, All Other",1.22,71870
NH,25-2011,"Preschool Teachers, Except Special Education",1.62,29450
NH,25-2012,"Kindergarten Teachers, Except Special Education",0.75,49530
NH,25-2021,"Elementary School Teachers, Except Special Education",0.98,55650
NH,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.36,57730
NH,25-2023,"Career/Technical Education Teachers, Middle School",1.45,61600
NH,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1.08,56850
NH,25-2032,"Career/Technical Education Teachers, Secondary School",1.07,57840
NH,25-2051,"Special Education Teachers, Preschool",0.4,48920
NH,25-2052,"Special Education Teachers, Kindergarten and Elementary School",1.29,56090
NH,25-2053,"Special Education Teachers, Middle School",1.55,55780
NH,25-2054,"Special Education Teachers, Secondary School",1.06,57550
NH,25-3011,"Adult Basic and Secondary Education and Literacy Teachers and Instructors",0.5,53520
NH,25-3021,"Self-Enrichment Education Teachers",1.09,43090
NH,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",1.6,43000
NH,25-3098,"Substitute Teachers",0.83,23050
NH,25-4012,Curators,2.3,40890
NH,25-4021,Librarians,1.56,55060
NH,25-4031,"Library Technicians",1.43,35160
NH,25-9011,"Audio-Visual and Multimedia Collections Specialists",0.84,60040
NH,25-9031,"Instructional Coordinators",0.85,67950
NH,25-9041,"Teacher Assistants",1.52,28810
NH,25-9099,"Education, Training, and Library Workers, All Other",1.25,51600
NH,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",0.9,47020
NH,27-1011,"Art Directors",0.56,79050
NH,27-1012,"Craft Artists",1.65,25770
NH,27-1014,"Multimedia Artists and Animators",0.43,59830
NH,27-1021,"Commercial and Industrial Designers",1.06,73450
NH,27-1022,"Fashion Designers",1,0
NH,27-1023,"Floral Designers",1.07,26470
NH,27-1024,"Graphic Designers",0.92,45460
NH,27-1025,"Interior Designers",0.63,48540
NH,27-1026,"Merchandise Displayers and Window Trimmers",1.18,27630
NH,27-1029,"Designers, All Other",1.32,76580
NH,27-2012,"Producers and Directors",0.42,56580
NH,27-2022,"Coaches and Scouts",1.29,37680
NH,27-2041,"Music Directors and Composers",0.76,56300
NH,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",1.19,0
NH,27-3011,"Radio and Television Announcers",0.61,31740
NH,27-3022,"Reporters and Correspondents",1.4,36610
NH,27-3031,"Public Relations Specialists",0.99,63940
NH,27-3041,Editors,1.07,48450
NH,27-3042,"Technical Writers",0.98,80530
NH,27-3043,"Writers and Authors",1.5,54240
NH,27-3091,"Interpreters and Translators",1.14,46390
NH,27-4011,"Audio and Video Equipment Technicians",0.38,41570
NH,27-4012,"Broadcast Technicians",0.81,0
NH,27-4021,Photographers,0.68,31910
NH,27-4031,"Camera Operators, Television, Video, and Motion Picture",0,37140
NH,27-4032,"Film and Video Editors",0.34,0
NH,27-4099,"Media and Communication Equipment Workers, All Other",1.43,42160
NH,29-0000,"Healthcare Practitioners and Technical Occupations",1.01,85650
NH,29-1011,Chiropractors,0.56,98020
NH,29-1021,"Dentists, General",0.94,217790
NH,29-1022,"Oral and Maxillofacial Surgeons",1.33,0
NH,29-1031,"Dietitians and Nutritionists",1.04,64340
NH,29-1041,Optometrists,0.79,114700
NH,29-1051,Pharmacists,0.83,128490
NH,29-1061,Anesthesiologists,0.85,0
NH,29-1062,"Family and General Practitioners",1.01,214020
NH,29-1063,"Internists, General",0.71,223510
NH,29-1064,"Obstetricians and Gynecologists",1.39,260230
NH,29-1065,"Pediatricians, General",1.06,189030
NH,29-1066,Psychiatrists,0.62,213360
NH,29-1067,Surgeons,1.42,0
NH,29-1069,"Physicians and Surgeons, All Other",1.37,244710
NH,29-1071,"Physician Assistants",1.18,113070
NH,29-1122,"Occupational Therapists",2.2,77770
NH,29-1123,"Physical Therapists",1.48,81020
NH,29-1124,"Radiation Therapists",1.21,82440
NH,29-1125,"Recreational Therapists",0.95,46370
NH,29-1126,"Respiratory Therapists",0.65,62330
NH,29-1127,"Speech-Language Pathologists",1,72600
NH,29-1128,"Exercise Physiologists",0,46190
NH,29-1131,Veterinarians,1.21,97490
NH,29-1141,"Registered Nurses",1.01,67190
NH,29-1151,"Nurse Anesthetists",0,217560
NH,29-1161,"Nurse Midwives",1.58,99670
NH,29-1171,"Nurse Practitioners",1.33,106210
NH,29-1181,Audiologists,1.26,0
NH,29-1199,"Health Diagnosing and Treating Practitioners, All Other",1.24,63840
NH,29-2011,"Medical and Clinical Laboratory Technologists",0.81,65180
NH,29-2012,"Medical and Clinical Laboratory Technicians",0.58,41070
NH,29-2021,"Dental Hygienists",1.31,78290
NH,29-2031,"Cardiovascular Technologists and Technicians",0.72,62140
NH,29-2032,"Diagnostic Medical Sonographers",0.71,75870
NH,29-2033,"Nuclear Medicine Technologists",0.58,74020
NH,29-2034,"Radiologic Technologists",0.77,62490
NH,29-2035,"Magnetic Resonance Imaging Technologists",1.03,70490
NH,29-2041,"Emergency Medical Technicians and Paramedics",1,36720
NH,29-2051,"Dietetic Technicians",0.43,34120
NH,29-2052,"Pharmacy Technicians",0.83,30070
NH,29-2053,"Psychiatric Technicians",0.15,33630
NH,29-2055,"Surgical Technologists",0.82,48060
NH,29-2056,"Veterinary Technologists and Technicians",1.82,34170
NH,29-2057,"Ophthalmic Medical Technicians",1.01,38260
NH,29-2061,"Licensed Practical and Licensed Vocational Nurses",0.67,47800
NH,29-2071,"Medical Records and Health Information Technicians",1.08,39010
NH,29-2081,"Opticians, Dispensing",1.38,37610
NH,29-2099,"Health Technologists and Technicians, All Other",0.91,50160
NH,29-9011,"Occupational Health and Safety Specialists",0.89,76650
NH,29-9012,"Occupational Health and Safety Technicians",0.64,48660
NH,29-9091,"Athletic Trainers",1.42,46880
NH,29-9099,"Healthcare Practitioners and Technical Workers, All Other",3.35,64820
NH,31-0000,"Healthcare Support Occupations",0.96,33000
NH,31-1011,"Home Health Aides",0.42,26670
NH,31-1014,"Nursing Assistants",1.32,29740
NH,31-1015,Orderlies,0.39,28010
NH,31-2011,"Occupational Therapy Assistants",0.9,52690
NH,31-2012,"Occupational Therapy Aides",1.74,29590
NH,31-2021,"Physical Therapist Assistants",1.59,55710
NH,31-2022,"Physical Therapist Aides",0.82,29900
NH,31-9011,"Massage Therapists",0.99,40890
NH,31-9091,"Dental Assistants",0.91,45480
NH,31-9092,"Medical Assistants",0.83,33580
NH,31-9093,"Medical Equipment Preparers",1.15,33720
NH,31-9094,"Medical Transcriptionists",1.06,38110
NH,31-9095,"Pharmacy Aides",0,26480
NH,31-9096,"Veterinary Assistants and Laboratory Animal Caretakers",0.68,25300
NH,31-9097,Phlebotomists,1.25,35090
NH,31-9099,"Healthcare Support Workers, All Other",0.96,33360
NH,33-0000,"Protective Service Occupations",0.76,44860
NH,33-1011,"First-Line Supervisors of Correctional Officers",0.55,58910
NH,33-1012,"First-Line Supervisors of Police and Detectives",1.03,77620
NH,33-1021,"First-Line Supervisors of Fire Fighting and Prevention Workers",1.86,64450
NH,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",0.76,61880
NH,33-2011,Firefighters,1.2,42200
NH,33-2021,"Fire Inspectors and Investigators",1.05,53960
NH,33-3011,Bailiffs,1.05,22760
NH,33-3012,"Correctional Officers and Jailers",0.56,42150
NH,33-3021,"Detectives and Criminal Investigators",0.69,74540
NH,33-3041,"Parking Enforcement Workers",1.35,36630
NH,33-3051,"Police and Sheriff's Patrol Officers",0.95,53250
NH,33-9011,"Animal Control Workers",0.93,32830
NH,33-9021,"Private Detectives and Investigators",1.33,44690
NH,33-9032,"Security Guards",0.48,32000
NH,33-9091,"Crossing Guards",1.04,26740
NH,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.74,22280
NH,33-9093,"Transportation Security Screeners",0.97,40790
NH,33-9099,"Protective Service Workers, All Other",0.59,32040
NH,35-0000,"Food Preparation and Serving Related Occupations",0.95,23270
NH,35-1011,"Chefs and Head Cooks",1.63,43440
NH,35-1012,"First-Line Supervisors of Food Preparation and Serving Workers",0.77,36410
NH,35-2011,"Cooks, Fast Food",0.52,20990
NH,35-2012,"Cooks, Institution and Cafeteria",0.81,30800
NH,35-2014,"Cooks, Restaurant",0.92,26940
NH,35-2015,"Cooks, Short Order",3.72,20150
NH,35-2019,"Cooks, All Other",1.23,33570
NH,35-2021,"Food Preparation Workers",0.83,22390
NH,35-3011,Bartenders,1.31,21000
NH,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",0.83,19350
NH,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.92,21330
NH,35-3031,"Waiters and Waitresses",1.05,23970
NH,35-3041,"Food Servers, Nonrestaurant",0.91,21670
NH,35-9011,"Dining Room and Cafeteria Attendants and Bartender Helpers",0.67,18720
NH,35-9021,Dishwashers,0.92,19520
NH,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.21,20130
NH,35-9099,"Food Preparation and Serving Related Workers, All Other",0.53,20410
NH,37-0000,"Building and Grounds Cleaning and Maintenance Occupations",1.08,28070
NH,37-1011,"First-Line Supervisors of Housekeeping and Janitorial Workers",1,40070
NH,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.28,46130
NH,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.98,27610
NH,37-2012,"Maids and Housekeeping Cleaners",1.09,21890
NH,37-2019,"Building Cleaning Workers, All Other",0.87,34180
NH,37-2021,"Pest Control Workers",0.74,37320
NH,37-3011,"Landscaping and Groundskeeping Workers",1.36,29770
NH,37-3013,"Tree Trimmers and Pruners",0,43230
NH,37-3019,"Grounds Maintenance Workers, All Other",1.54,28350
NH,39-0000,"Personal Care and Service Occupations",0.94,25970
NH,39-1021,"First-Line Supervisors of Personal Service Workers",0.91,36460
NH,39-2011,"Animal Trainers",1.36,35520
NH,39-2021,"Nonfarm Animal Caretakers",0.95,22060
NH,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",0.57,17590
NH,39-3091,"Amusement and Recreation Attendants",0.88,20870
NH,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.96,20170
NH,39-4021,"Funeral Attendants",0.37,36470
NH,39-4031,"Morticians, Undertakers, and Funeral Directors",1.18,43650
NH,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",1.2,28630
NH,39-5092,"Manicurists and Pedicurists",1.16,25770
NH,39-5094,"Skincare Specialists",1.65,29750
NH,39-6011,"Baggage Porters and Bellhops",0.17,23080
NH,39-7011,"Tour Guides and Escorts",1.02,29860
NH,39-9011,"Childcare Workers",0.98,22200
NH,39-9021,"Personal Care Aides",0.91,23340
NH,39-9031,"Fitness Trainers and Aerobics Instructors",1.5,35770
NH,39-9032,"Recreation Workers",0.99,27670
NH,39-9041,"Residential Advisors",0.86,30780
NH,39-9099,"Personal Care and Service Workers, All Other",1.2,20170
NH,41-0000,"Sales and Related Occupations",1.26,42710
NH,41-1011,"First-Line Supervisors of Retail Sales Workers",1.35,47220
NH,41-1012,"First-Line Supervisors of Non-Retail Sales Workers",1.42,105200
NH,41-2011,Cashiers,1.41,20510
NH,41-2021,"Counter and Rental Clerks",1.01,31170
NH,41-2022,"Parts Salespersons",1.51,31020
NH,41-2031,"Retail Salespersons",1.3,26310
NH,41-3011,"Advertising Sales Agents",0.8,73660
NH,41-3021,"Insurance Sales Agents",0.82,62240
NH,41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.34,149750
NH,41-3041,"Travel Agents",0.92,46430
NH,41-3099,"Sales Representatives, Services, All Other",0.94,77290
NH,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.14,98540
NH,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.13,75540
NH,41-9011,"Demonstrators and Product Promoters",0.2,25940
NH,41-9021,"Real Estate Brokers",1.08,132600
NH,41-9022,"Real Estate Sales Agents",0.28,43150
NH,41-9031,"Sales Engineers",1.54,121390
NH,41-9041,Telemarketers,0.41,30710
NH,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0,22520
NH,41-9099,"Sales and Related Workers, All Other",2.05,40250
NH,43-0000,"Office and Administrative Support Occupations",1.04,35820
NH,43-1011,"First-Line Supervisors of Office and Administrative Support Workers",1.05,54650
NH,43-2011,"Switchboard Operators, Including Answering Service",1.14,29710
NH,43-3011,"Bill and Account Collectors",0.92,33870
NH,43-3021,"Billing and Posting Clerks",0.93,37280
NH,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1.06,39560
NH,43-3051,"Payroll and Timekeeping Clerks",1.05,43660
NH,43-3061,"Procurement Clerks",1.17,36950
NH,43-3071,Tellers,0.91,28070
NH,43-3099,"Financial Clerks, All Other",2.44,35940
NH,43-4011,"Brokerage Clerks",1.16,52530
NH,43-4031,"Court, Municipal, and License Clerks",0.74,37950
NH,43-4041,"Credit Authorizers, Checkers, and Clerks",0.64,38990
NH,43-4051,"Customer Service Representatives",0.71,36700
